transaction_id,customer_id,date,revenue,category,channel,payment_method,delivery_days,satisfaction_score,segment,region,age_group,month_num
T009792,C01269,2023-01-03,135.89,Fashion,Web,Credit Card,5,4,Regular,East,26-35,1
T007711,C00920,2023-01-03,312.13,Home,Mobile App,Debit Card,4,4,Premium,South,26-35,1
T014540,C01563,2023-01-03,52.59,Beauty,Web,UPI,2,4,Budget,North,36-45,1
T003476,C00853,2023-01-03,117.9,Home,Web,Credit Card,4,4,Regular,North,26-35,1
T012692,C00312,2023-01-03,86.93,Electronics,Mobile App,UPI,5,4,Premium,West,46-60,1
T004993,C00879,2023-01-03,529.2,Fashion,Store,Credit Card,7,2,Premium,East,46-60,1
T004339,C00956,2023-01-03,19.41,Home,Mobile App,Debit Card,7,2,Regular,East,36-45,1
T004985,C00441,2023-01-03,210.54,Electronics,Web,UPI,5,2,Premium,East,26-35,1
T006326,C01472,2023-01-03,26.47,Electronics,Web,Credit Card,6,2,Budget,East,60+,1
T001876,C00677,2023-01-03,274.11,Electronics,Mobile App,Debit Card,3,4,Premium,South,18-25,1
T010288,C01492,2023-01-03,108.79,Fashion,Web,Wallet,7,2,Regular,East,26-35,1
T012815,C00290,2023-01-03,223.22,Fashion,Web,Debit Card,2,5,Regular,North,26-35,1
T008096,C00176,2023-01-03,192.2,Electronics,Web,Credit Card,3,4,Premium,West,26-35,1
T012464,C01563,2023-01-03,59.72,Beauty,Web,Wallet,5,3,Budget,North,36-45,1
T008760,C01632,2023-01-03,36.18,Fashion,Web,Credit Card,5,2,Regular,North,26-35,1
T008027,C01724,2023-01-03,637.48,Beauty,Mobile App,UPI,4,3,Premium,North,36-45,1
T008501,C01308,2023-01-03,57.88,Fashion,Store,Credit Card,5,4,Budget,North,18-25,1
T007101,C00866,2023-01-03,64.69,Electronics,Mobile App,Debit Card,4,4,Regular,East,26-35,1
T000139,C01102,2023-01-03,20.19,Beauty,Web,Credit Card,5,4,Budget,East,36-45,1
T006079,C01660,2023-01-03,28.53,Home,Web,Wallet,3,3,Regular,West,46-60,1
T006176,C01055,2023-01-03,36.99,Fashion,Mobile App,Wallet,6,3,Budget,East,18-25,1
T003671,C00064,2023-01-03,110.33,Fashion,Web,Credit Card,3,4,Regular,South,36-45,1
T011243,C01716,2023-01-04,15.69,Fashion,Web,Debit Card,3,4,Budget,South,26-35,1
T011123,C00860,2023-01-04,394.2,Sports,Web,Debit Card,4,3,Premium,North,26-35,1
T001144,C00436,2023-01-04,82.49,Sports,Web,UPI,4,4,Budget,South,26-35,1
T008908,C00392,2023-01-04,434.81,Fashion,Web,Debit Card,3,5,Regular,North,18-25,1
T006802,C00597,2023-01-04,43.2,Sports,Mobile App,UPI,4,4,Regular,North,36-45,1
T006408,C01475,2023-01-04,44.59,Fashion,Mobile App,Credit Card,5,2,Regular,West,26-35,1
T009329,C00702,2023-01-04,197.47,Electronics,Web,Debit Card,3,4,Premium,West,26-35,1
T007840,C01340,2023-01-04,498.58,Fashion,Web,Credit Card,4,3,Premium,East,18-25,1
T000754,C01693,2023-01-04,38.31,Sports,Web,Debit Card,6,3,Regular,East,26-35,1
T007710,C00619,2023-01-04,12.41,Fashion,Web,Credit Card,5,2,Budget,West,60+,1
T007661,C01413,2023-01-04,35.74,Beauty,Web,Credit Card,2,5,Regular,North,60+,1
T000614,C00090,2023-01-04,64.87,Electronics,Store,Credit Card,5,3,Regular,South,46-60,1
T001513,C00503,2023-01-04,33.07,Beauty,Web,UPI,6,2,Regular,East,26-35,1
T000577,C01745,2023-01-04,234.79,Beauty,Store,Debit Card,3,4,Regular,North,36-45,1
T014972,C00728,2023-01-04,7.68,Fashion,Web,Debit Card,2,4,Budget,North,18-25,1
T001475,C01621,2023-01-04,80.97,Electronics,Store,UPI,6,4,Regular,East,26-35,1
T004861,C00863,2023-01-04,65.4,Electronics,Store,UPI,4,3,Regular,West,46-60,1
T003789,C00478,2023-01-04,106.06,Electronics,Web,Wallet,7,2,Regular,East,36-45,1
T006243,C00641,2023-01-04,582.16,Sports,Web,Debit Card,3,3,Premium,North,26-35,1
T010815,C00670,2023-01-04,129.19,Home,Web,Debit Card,3,4,Regular,South,26-35,1
T010810,C00137,2023-01-04,145.37,Beauty,Store,Credit Card,2,5,Regular,North,18-25,1
T002612,C00221,2023-01-04,372.42,Home,Web,UPI,5,2,Regular,East,18-25,1
T012596,C01411,2023-01-04,213.29,Fashion,Mobile App,Credit Card,5,2,Regular,South,26-35,1
T012016,C01852,2023-01-04,38.7,Home,Mobile App,Wallet,2,5,Budget,North,26-35,1
T010629,C00695,2023-01-05,201.51,Beauty,Web,Credit Card,3,5,Premium,West,26-35,1
T006917,C01727,2023-01-05,339.64,Fashion,Mobile App,Credit Card,5,3,Regular,North,36-45,1
T006916,C00534,2023-01-05,100.48,Fashion,Mobile App,Debit Card,3,5,Regular,North,46-60,1
T002396,C00219,2023-01-05,58.56,Electronics,Web,UPI,4,3,Regular,West,46-60,1
T000340,C01899,2023-01-05,227.73,Electronics,Store,Credit Card,5,3,Regular,South,18-25,1
T001451,C01067,2023-01-05,53.6,Beauty,Mobile App,UPI,3,4,Regular,North,46-60,1
T010322,C01093,2023-01-05,97.86,Fashion,Web,Debit Card,4,4,Regular,South,46-60,1
T006809,C01862,2023-01-05,57.25,Home,Mobile App,UPI,6,2,Regular,East,36-45,1
T002207,C00458,2023-01-05,20.18,Electronics,Web,Debit Card,5,3,Regular,East,26-35,1
T011215,C00456,2023-01-05,141.48,Home,Web,Debit Card,5,2,Regular,North,18-25,1
T006271,C01072,2023-01-05,99.52,Electronics,Mobile App,Credit Card,4,4,Regular,East,36-45,1
T008780,C01475,2023-01-05,252.2,Home,Mobile App,Wallet,4,4,Regular,West,26-35,1
T008990,C00920,2023-01-05,126.08,Home,Web,Credit Card,4,3,Premium,South,26-35,1
T001657,C00937,2023-01-05,271.26,Beauty,Store,UPI,5,3,Premium,East,60+,1
T003753,C00690,2023-01-05,162.52,Beauty,Mobile App,Credit Card,6,2,Premium,South,36-45,1
T011775,C00914,2023-01-05,125.82,Fashion,Store,Wallet,5,3,Regular,West,46-60,1
T001018,C00615,2023-01-05,12.38,Home,Mobile App,Credit Card,6,1,Budget,South,26-35,1
T008464,C01203,2023-01-05,225.1,Beauty,Mobile App,Debit Card,2,5,Premium,North,18-25,1
T012008,C00555,2023-01-05,19.87,Electronics,Web,Credit Card,3,4,Budget,North,36-45,1
T007064,C00296,2023-01-05,63.78,Electronics,Mobile App,Debit Card,3,4,Regular,North,26-35,1
T014918,C00462,2023-01-05,225.92,Electronics,Web,UPI,3,4,Regular,West,18-25,1
T000880,C01760,2023-01-05,74.57,Sports,Web,Debit Card,5,3,Regular,West,26-35,1
T000620,C00342,2023-01-06,28.69,Electronics,Web,Wallet,4,3,Regular,North,36-45,1
T004401,C00689,2023-01-06,12.19,Electronics,Mobile App,UPI,5,2,Budget,South,36-45,1
T012869,C00365,2023-01-06,8.42,Fashion,Store,Debit Card,7,2,Budget,East,26-35,1
T014057,C00843,2023-01-06,383.31,Electronics,Web,Debit Card,2,5,Premium,West,26-35,1
T002520,C01693,2023-01-06,94.47,Sports,Web,Debit Card,6,3,Regular,East,26-35,1
T012304,C01717,2023-01-06,431.07,Fashion,Mobile App,Debit Card,5,3,Premium,South,36-45,1
T001760,C01731,2023-01-06,207.24,Fashion,Store,Credit Card,5,3,Regular,North,26-35,1
T004481,C00822,2023-01-06,826.79,Fashion,Web,Credit Card,4,4,Premium,North,46-60,1
T008746,C00553,2023-01-06,100.74,Home,Mobile App,Credit Card,2,4,Regular,West,18-25,1
T011806,C01434,2023-01-06,417.68,Home,Web,Debit Card,4,3,Regular,South,26-35,1
T010841,C01763,2023-01-06,197.78,Home,Mobile App,Debit Card,5,2,Premium,South,26-35,1
T013046,C01179,2023-01-06,29.27,Electronics,Mobile App,Debit Card,2,4,Budget,West,26-35,1
T002112,C00195,2023-01-06,47.33,Electronics,Web,Debit Card,2,5,Regular,North,18-25,1
T000900,C01642,2023-01-06,68.39,Fashion,Store,Credit Card,5,3,Budget,West,36-45,1
T009169,C01391,2023-01-06,7.65,Sports,Web,UPI,6,3,Regular,South,18-25,1
T006392,C01434,2023-01-06,84.7,Electronics,Web,Debit Card,5,2,Regular,South,26-35,1
T003999,C01101,2023-01-06,134.3,Home,Store,UPI,5,3,Premium,North,26-35,1
T011402,C01126,2023-01-06,228.52,Electronics,Web,Debit Card,7,1,Regular,East,18-25,1
T007602,C01998,2023-01-06,50.76,Beauty,Mobile App,Credit Card,4,3,Premium,South,46-60,1
T001830,C00450,2023-01-06,540.6,Fashion,Web,Credit Card,5,2,Premium,South,36-45,1
T003118,C00805,2023-01-06,150.55,Home,Store,Credit Card,6,3,Regular,South,36-45,1
T006121,C01210,2023-01-06,92.95,Sports,Mobile App,Debit Card,5,2,Budget,East,60+,1
T008183,C01428,2023-01-06,20.78,Fashion,Mobile App,UPI,7,2,Budget,East,26-35,1
T001226,C00205,2023-01-06,22.8,Fashion,Mobile App,Credit Card,6,2,Regular,East,60+,1
T007523,C01201,2023-01-06,13.28,Beauty,Mobile App,Debit Card,6,2,Budget,East,36-45,1
T006284,C00084,2023-01-06,180.06,Fashion,Mobile App,Credit Card,5,3,Premium,West,46-60,1
T005441,C00398,2023-01-06,227.99,Electronics,Mobile App,UPI,2,5,Regular,North,18-25,1
T013664,C01775,2023-01-06,58.0,Home,Web,Debit Card,7,2,Budget,East,46-60,1
T006130,C00349,2023-01-07,252.52,Home,Web,UPI,6,3,Regular,East,18-25,1
T003435,C00097,2023-01-07,553.6,Sports,Store,Credit Card,5,3,Regular,East,60+,1
T005046,C00043,2023-01-07,307.44,Electronics,Mobile App,Credit Card,4,3,Premium,South,26-35,1
T011830,C00126,2023-01-07,128.76,Fashion,Web,Credit Card,6,3,Regular,East,36-45,1
T009435,C00082,2023-01-07,52.6,Sports,Web,Wallet,2,5,Regular,North,18-25,1
T009057,C01119,2023-01-07,40.88,Fashion,Mobile App,UPI,3,4,Regular,North,46-60,1
T008816,C01216,2023-01-07,88.8,Electronics,Mobile App,Credit Card,5,4,Regular,North,18-25,1
T006390,C00158,2023-01-07,6.11,Fashion,Store,Debit Card,3,4,Budget,South,26-35,1
T008374,C01257,2023-01-07,36.25,Home,Store,Debit Card,5,3,Regular,East,26-35,1
T007074,C01441,2023-01-07,59.49,Home,Web,Credit Card,6,2,Budget,South,26-35,1
T011361,C01204,2023-01-07,208.11,Fashion,Web,Credit Card,2,5,Regular,West,46-60,1
T012729,C00852,2023-01-07,32.24,Beauty,Mobile App,Credit Card,5,2,Budget,North,18-25,1
T008580,C01524,2023-01-07,100.53,Electronics,Web,Wallet,5,3,Premium,North,36-45,1
T002104,C01085,2023-01-08,33.42,Sports,Mobile App,Wallet,6,2,Budget,East,18-25,1
T006808,C00922,2023-01-08,20.98,Beauty,Web,Debit Card,4,3,Regular,East,60+,1
T009060,C00224,2023-01-08,70.13,Electronics,Store,UPI,4,4,Regular,North,26-35,1
T009524,C01968,2023-01-08,74.56,Beauty,Web,Debit Card,2,4,Regular,North,26-35,1
T011892,C00469,2023-01-08,93.86,Beauty,Store,Credit Card,3,4,Regular,South,26-35,1
T003630,C00170,2023-01-08,9.21,Electronics,Web,Credit Card,5,3,Regular,South,46-60,1
T006146,C01026,2023-01-08,25.86,Fashion,Store,Credit Card,5,2,Regular,South,36-45,1
T013600,C01939,2023-01-08,189.68,Fashion,Mobile App,Wallet,4,3,Regular,North,36-45,1
T014467,C00629,2023-01-08,209.83,Electronics,Mobile App,Credit Card,4,4,Premium,South,18-25,1
T012738,C00627,2023-01-08,152.42,Electronics,Mobile App,UPI,4,3,Regular,North,26-35,1
T000935,C01708,2023-01-08,52.09,Home,Web,Credit Card,4,5,Regular,North,26-35,1
T005824,C00305,2023-01-08,13.66,Beauty,Web,Debit Card,4,3,Budget,West,46-60,1
T006894,C00613,2023-01-08,88.47,Fashion,Store,Debit Card,3,5,Regular,North,36-45,1
T002276,C01257,2023-01-08,140.67,Electronics,Web,Credit Card,4,4,Regular,East,26-35,1
T005782,C00759,2023-01-08,46.94,Fashion,Mobile App,Wallet,5,4,Budget,East,26-35,1
T006739,C01087,2023-01-08,132.66,Beauty,Mobile App,UPI,3,5,Regular,South,36-45,1
T011737,C01975,2023-01-08,62.0,Electronics,Web,Debit Card,4,3,Regular,North,26-35,1
T002649,C01744,2023-01-09,383.92,Sports,Mobile App,Debit Card,5,2,Premium,North,60+,1
T011242,C00918,2023-01-09,156.46,Fashion,Mobile App,UPI,5,2,Budget,West,36-45,1
T000387,C00356,2023-01-09,180.08,Home,Web,UPI,3,3,Regular,North,18-25,1
T014074,C01518,2023-01-09,46.07,Electronics,Store,UPI,4,4,Budget,South,18-25,1
T014126,C00438,2023-01-09,68.93,Sports,Mobile App,Credit Card,6,3,Budget,South,60+,1
T011433,C00133,2023-01-09,105.03,Beauty,Web,Credit Card,4,3,Premium,East,18-25,1
T013624,C00490,2023-01-09,13.12,Electronics,Web,UPI,4,4,Budget,South,36-45,1
T002018,C00259,2023-01-09,152.96,Beauty,Store,Credit Card,4,4,Regular,South,26-35,1
T013284,C01290,2023-01-09,129.61,Home,Web,Credit Card,3,4,Premium,North,26-35,1
T001547,C00039,2023-01-09,40.67,Beauty,Store,Credit Card,2,4,Regular,North,46-60,1
T014517,C01019,2023-01-09,21.87,Sports,Mobile App,UPI,3,4,Budget,North,46-60,1
T010085,C01112,2023-01-09,126.11,Home,Mobile App,Credit Card,2,4,Regular,North,46-60,1
T003810,C00888,2023-01-09,77.88,Home,Mobile App,Debit Card,6,3,Regular,South,18-25,1
T012917,C01201,2023-01-09,44.05,Fashion,Store,UPI,6,2,Budget,East,36-45,1
T000143,C01389,2023-01-09,46.48,Electronics,Web,UPI,2,4,Budget,North,18-25,1
T005138,C00122,2023-01-10,28.46,Electronics,Web,Credit Card,5,3,Budget,South,46-60,1
T009245,C01551,2023-01-10,155.8,Beauty,Store,Debit Card,2,4,Budget,West,26-35,1
T001672,C00258,2023-01-10,83.73,Electronics,Web,UPI,3,4,Regular,South,26-35,1
T005696,C00205,2023-01-10,78.68,Home,Web,Wallet,5,3,Regular,East,60+,1
T009316,C01553,2023-01-10,113.09,Home,Mobile App,Credit Card,4,4,Budget,East,36-45,1
T009635,C00156,2023-01-10,66.28,Electronics,Store,Debit Card,3,4,Regular,North,36-45,1
T001964,C00375,2023-01-10,738.52,Electronics,Mobile App,Debit Card,6,3,Premium,East,46-60,1
T012544,C01552,2023-01-10,19.84,Home,Web,Wallet,2,5,Regular,North,36-45,1
T005034,C01022,2023-01-10,76.65,Beauty,Store,Debit Card,3,5,Regular,South,26-35,1
T013977,C01399,2023-01-10,291.81,Beauty,Web,UPI,4,4,Regular,North,46-60,1
T002838,C00041,2023-01-10,111.66,Sports,Web,Credit Card,4,4,Premium,West,60+,1
T001848,C01268,2023-01-10,105.55,Beauty,Mobile App,UPI,4,3,Regular,East,26-35,1
T013639,C01404,2023-01-10,51.35,Home,Web,UPI,6,2,Budget,South,18-25,1
T011448,C00844,2023-01-10,66.67,Beauty,Store,Wallet,3,3,Budget,West,36-45,1
T014438,C00592,2023-01-10,123.73,Fashion,Mobile App,Credit Card,5,3,Regular,West,46-60,1
T006933,C00909,2023-01-10,160.5,Fashion,Web,Wallet,5,3,Regular,South,36-45,1
T006034,C00257,2023-01-10,53.94,Electronics,Mobile App,UPI,5,3,Budget,South,26-35,1
T012588,C00964,2023-01-10,64.21,Beauty,Mobile App,UPI,2,4,Regular,West,26-35,1
T002926,C01888,2023-01-10,29.77,Beauty,Mobile App,Credit Card,5,2,Regular,East,18-25,1
T008352,C00389,2023-01-10,19.71,Fashion,Web,Credit Card,7,2,Budget,East,26-35,1
T001466,C01160,2023-01-10,75.31,Fashion,Store,Credit Card,5,3,Premium,North,18-25,1
T000940,C01998,2023-01-10,171.02,Home,Web,UPI,3,5,Premium,South,46-60,1
T002040,C00886,2023-01-10,229.77,Fashion,Mobile App,UPI,4,2,Premium,West,26-35,1
T006659,C00151,2023-01-10,13.25,Home,Mobile App,UPI,6,3,Budget,South,26-35,1
T006617,C00255,2023-01-10,359.79,Home,Web,Credit Card,2,5,Premium,West,26-35,1
T005758,C01273,2023-01-10,61.31,Electronics,Web,Debit Card,7,3,Budget,East,60+,1
T002162,C00487,2023-01-10,98.19,Electronics,Store,Credit Card,6,3,Premium,South,26-35,1
T010666,C00904,2023-01-10,91.59,Home,Store,Wallet,5,2,Regular,South,18-25,1
T004732,C01774,2023-01-10,115.34,Sports,Store,Credit Card,5,3,Budget,East,26-35,1
T000050,C00504,2023-01-10,67.78,Electronics,Mobile App,UPI,3,5,Budget,West,60+,1
T009494,C00452,2023-01-11,206.67,Sports,Mobile App,Credit Card,2,5,Regular,West,46-60,1
T007960,C00048,2023-01-11,110.74,Electronics,Store,Wallet,5,3,Regular,East,36-45,1
T003675,C01500,2023-01-11,15.31,Fashion,Web,Credit Card,6,3,Budget,East,36-45,1
T010095,C00011,2023-01-11,88.29,Electronics,Store,Credit Card,4,4,Premium,North,36-45,1
T011798,C00736,2023-01-11,130.39,Fashion,Mobile App,UPI,6,3,Budget,East,26-35,1
T007169,C01513,2023-01-11,19.92,Electronics,Mobile App,Wallet,4,3,Budget,West,18-25,1
T007961,C01400,2023-01-11,37.36,Sports,Mobile App,Credit Card,4,3,Budget,East,36-45,1
T006975,C00097,2023-01-11,58.03,Fashion,Mobile App,Debit Card,5,3,Regular,East,60+,1
T011788,C01364,2023-01-11,52.45,Electronics,Web,Credit Card,4,3,Regular,North,18-25,1
T004232,C01228,2023-01-11,93.74,Electronics,Web,UPI,6,2,Regular,South,26-35,1
T007847,C00428,2023-01-11,16.36,Electronics,Mobile App,Debit Card,2,4,Budget,West,26-35,1
T012314,C01233,2023-01-11,53.18,Electronics,Web,Credit Card,5,3,Regular,North,26-35,1
T000815,C00231,2023-01-11,46.16,Electronics,Web,UPI,7,1,Budget,East,26-35,1
T012704,C01375,2023-01-11,93.32,Fashion,Web,Credit Card,2,4,Regular,West,46-60,1
T006492,C00499,2023-01-11,62.36,Sports,Web,Debit Card,3,4,Budget,West,36-45,1
T001047,C01789,2023-01-11,191.25,Fashion,Web,UPI,5,4,Premium,North,36-45,1
T000126,C01115,2023-01-11,101.8,Fashion,Mobile App,UPI,2,5,Regular,North,36-45,1
T004827,C00011,2023-01-11,206.87,Fashion,Web,Credit Card,2,4,Premium,North,36-45,1
T008048,C00722,2023-01-11,18.98,Home,Mobile App,UPI,7,2,Premium,East,36-45,1
T000123,C01655,2023-01-11,60.04,Fashion,Mobile App,UPI,2,5,Premium,North,36-45,1
T008282,C00774,2023-01-11,151.7,Electronics,Web,Credit Card,6,2,Regular,South,36-45,1
T010580,C00236,2023-01-11,74.12,Beauty,Web,Debit Card,6,3,Budget,East,36-45,1
T012772,C00283,2023-01-11,42.96,Fashion,Web,Wallet,5,2,Regular,South,36-45,1
T011216,C01173,2023-01-12,192.87,Home,Mobile App,UPI,3,4,Regular,North,26-35,1
T007766,C00423,2023-01-12,255.7,Electronics,Mobile App,Credit Card,6,2,Premium,East,36-45,1
T006232,C01458,2023-01-12,158.16,Fashion,Web,Wallet,5,3,Regular,East,46-60,1
T011084,C00151,2023-01-12,27.7,Sports,Web,Debit Card,4,3,Budget,South,26-35,1
T009640,C01812,2023-01-12,70.55,Fashion,Mobile App,Debit Card,3,4,Budget,South,36-45,1
T014895,C01642,2023-01-12,63.79,Fashion,Web,Debit Card,5,3,Budget,West,36-45,1
T009949,C01951,2023-01-12,200.97,Sports,Web,Credit Card,2,4,Premium,North,36-45,1
T014226,C00746,2023-01-12,84.0,Home,Web,Wallet,6,3,Budget,East,26-35,1
T012580,C00466,2023-01-12,20.95,Electronics,Web,UPI,2,4,Regular,North,36-45,1
T010135,C01857,2023-01-12,268.62,Electronics,Web,Debit Card,5,3,Budget,South,36-45,1
T010136,C00232,2023-01-12,101.09,Electronics,Web,Wallet,4,3,Regular,North,18-25,1
T006811,C01129,2023-01-12,76.86,Beauty,Mobile App,Credit Card,3,4,Regular,West,36-45,1
T009430,C01467,2023-01-12,33.92,Sports,Mobile App,UPI,4,3,Budget,South,36-45,1
T007280,C00683,2023-01-12,68.82,Home,Store,UPI,5,3,Premium,North,60+,1
T007089,C00027,2023-01-12,135.11,Electronics,Mobile App,Credit Card,4,4,Premium,East,36-45,1
T007052,C00376,2023-01-12,186.84,Fashion,Store,Credit Card,4,4,Regular,North,36-45,1
T007652,C00182,2023-01-12,75.56,Electronics,Store,Credit Card,4,3,Premium,North,26-35,1
T012041,C01242,2023-01-13,43.21,Fashion,Mobile App,UPI,3,4,Budget,South,60+,1
T002524,C01013,2023-01-13,87.13,Fashion,Mobile App,Debit Card,3,4,Budget,South,36-45,1
T002109,C01614,2023-01-13,69.57,Electronics,Store,Debit Card,6,2,Regular,East,46-60,1
T004361,C00166,2023-01-13,28.04,Home,Mobile App,Debit Card,3,4,Budget,West,36-45,1
T005629,C01149,2023-01-13,23.23,Electronics,Store,UPI,5,3,Budget,East,26-35,1
T012649,C00743,2023-01-13,12.77,Fashion,Web,Credit Card,4,3,Budget,North,36-45,1
T004403,C01109,2023-01-13,224.0,Electronics,Web,Wallet,6,3,Regular,East,18-25,1
T005019,C00021,2023-01-13,111.92,Electronics,Mobile App,UPI,2,5,Regular,West,26-35,1
T002445,C00691,2023-01-13,104.8,Home,Mobile App,Debit Card,3,4,Regular,South,26-35,1
T004908,C01510,2023-01-13,70.75,Electronics,Web,Credit Card,2,4,Budget,North,60+,1
T001800,C01699,2023-01-13,61.66,Electronics,Web,Wallet,3,4,Budget,West,36-45,1
T011752,C00791,2023-01-13,127.71,Fashion,Mobile App,Debit Card,5,4,Premium,East,26-35,1
T010576,C01935,2023-01-13,75.99,Electronics,Mobile App,UPI,6,3,Regular,South,36-45,1
T003196,C00814,2023-01-13,34.7,Sports,Web,Credit Card,3,4,Budget,North,26-35,1
T011604,C01047,2023-01-13,346.22,Beauty,Store,Wallet,3,4,Regular,South,26-35,1
T004821,C01737,2023-01-13,41.01,Sports,Web,Credit Card,6,2,Regular,East,26-35,1
T011011,C01800,2023-01-13,186.72,Home,Store,Debit Card,5,3,Premium,East,18-25,1
T007226,C01827,2023-01-13,218.97,Fashion,Mobile App,Credit Card,4,4,Premium,South,46-60,1
T001108,C01903,2023-01-13,43.17,Beauty,Web,UPI,3,4,Budget,West,46-60,1
T008687,C01079,2023-01-13,190.94,Home,Web,UPI,2,5,Regular,North,26-35,1
T008935,C00100,2023-01-13,94.25,Home,Web,Debit Card,6,3,Premium,South,60+,1
T009725,C00094,2023-01-13,82.32,Fashion,Mobile App,Credit Card,5,3,Regular,South,26-35,1
T009612,C01819,2023-01-13,184.41,Sports,Web,Credit Card,3,4,Regular,West,36-45,1
T008303,C00039,2023-01-13,50.79,Fashion,Web,Credit Card,2,5,Regular,North,46-60,1
T008065,C01088,2023-01-13,73.5,Fashion,Mobile App,Credit Card,4,3,Premium,North,26-35,1
T009502,C00052,2023-01-13,60.79,Electronics,Mobile App,Credit Card,6,3,Budget,South,18-25,1
T004359,C00427,2023-01-14,50.5,Fashion,Web,Credit Card,2,4,Regular,North,18-25,1
