customer_id,segment,region,acquisition_date,age_group,last_purchase_date,days_since_purchase,is_churned
C00123,Regular,West,2022-11-10,26-35,2024-02-25,310,1
C00124,Premium,South,2022-11-28,60+,2024-07-30,154,1
C00125,Regular,West,2022-05-30,36-45,2024-03-26,280,1
C00126,Regular,East,2023-03-30,36-45,2024-10-29,63,0
C00127,Budget,East,2022-02-05,18-25,2024-10-01,91,1
C00128,Budget,North,2023-02-24,18-25,2024-11-30,31,0
C00129,Premium,West,2022-01-22,36-45,2024-12-25,6,0
C00130,Regular,South,2022-07-25,46-60,2023-12-22,375,1
C00131,Regular,North,2022-12-22,36-45,2024-07-02,182,1
C00132,Regular,North,2023-03-16,18-25,2024-08-16,137,1
C00133,Premium,East,2022-04-06,18-25,2024-12-10,21,0
C00134,Regular,South,2022-06-13,46-60,2024-11-12,49,0
C00135,Budget,East,2022-05-28,18-25,2024-09-07,115,1
C00136,Regular,West,2023-06-14,36-45,2024-06-19,195,1
C00137,Regular,North,2022-10-21,18-25,2024-09-20,102,1
C00138,Budget,East,2022-07-14,18-25,2024-11-18,43,0
C00139,Regular,North,2023-04-25,36-45,2024-05-10,235,1
C00140,Budget,West,2022-05-03,36-45,2024-10-13,79,0
C00141,Budget,West,2023-02-04,26-35,2024-09-05,117,1
C00142,Regular,South,2023-03-28,26-35,2024-12-18,13,0
C00143,Regular,East,2022-04-14,46-60,2024-10-28,64,0
C00144,Regular,South,2023-04-07,26-35,2024-09-30,92,1
C00145,Regular,South,2023-01-31,36-45,2024-12-27,4,0
C00146,Premium,West,2022-12-03,60+,2024-11-26,35,0
C00147,Regular,South,2022-05-22,18-25,2024-10-26,66,0
C00148,Regular,South,2022-11-13,60+,2024-12-27,4,0
C00149,Premium,South,2023-06-11,26-35,2024-09-11,111,1
C00150,Regular,West,2023-02-05,36-45,2024-11-20,41,0
C00151,Budget,South,2022-11-06,26-35,2024-12-09,22,0
C00152,Regular,North,2023-05-10,60+,2024-12-05,26,0
C00153,Premium,East,2022-04-19,26-35,2024-12-26,5,0
C00154,Regular,West,2023-01-07,26-35,2024-11-16,45,0
C00155,Budget,North,2022-07-25,60+,2024-06-12,202,1
C00156,Regular,North,2022-02-12,36-45,2024-10-28,64,0
C00157,Regular,North,2022-09-02,36-45,2024-09-05,117,1
C00158,Budget,South,2022-10-14,26-35,2024-12-11,20,0
C00159,Regular,South,2022-12-21,36-45,2024-07-17,167,1
C00160,Budget,East,2023-04-21,18-25,2024-09-13,109,1
C00161,Regular,East,2022-03-24,18-25,2024-04-15,260,1
C00162,Regular,East,2022-04-20,36-45,2024-12-15,16,0
C00163,Regular,South,2022-07-09,26-35,2024-11-09,52,0
C00164,Regular,West,2022-09-08,60+,2024-04-11,264,1
C00165,Premium,South,2022-10-18,60+,2024-11-08,53,0
C00166,Budget,West,2022-07-20,36-45,2024-06-23,191,1
C00167,Regular,East,2022-11-22,46-60,2024-11-21,40,0
C00168,Premium,North,2023-05-26,36-45,2024-12-16,15,0
C00169,Premium,East,2023-02-13,18-25,2024-11-30,31,0
C00170,Regular,South,2023-05-23,46-60,2024-12-11,20,0
C00171,Regular,East,2022-03-13,26-35,2024-11-27,34,0
C00172,Premium,North,2022-09-04,26-35,2024-11-24,37,0
C00173,Regular,North,2022-12-10,46-60,2024-12-08,23,0
C00174,Regular,West,2022-02-23,36-45,2024-09-25,97,1
C00175,Regular,North,2023-06-12,46-60,2024-09-08,114,1
C00176,Premium,West,2023-06-16,26-35,2024-09-04,118,1
C00177,Regular,North,2022-07-12,36-45,2024-09-10,112,1
C00178,Regular,East,2022-02-27,18-25,2024-08-17,136,1
C00179,Budget,East,2023-03-13,36-45,2024-09-02,120,1
C00180,Premium,South,2022-04-21,46-60,2024-11-15,46,0
C00181,Regular,South,2022-05-09,36-45,2024-09-25,97,1
C00182,Premium,North,2022-11-22,26-35,2024-07-11,173,1
C00183,Budget,North,2022-01-08,18-25,2024-11-22,39,0
C00184,Budget,South,2022-01-29,18-25,2024-12-08,23,0
C00185,Regular,East,2022-04-22,36-45,2024-09-18,104,1
C00186,Regular,West,2022-05-11,60+,2024-10-06,86,0
C00187,Budget,West,2022-07-07,26-35,2024-12-11,20,0
C00188,Regular,East,2023-04-20,36-45,2024-10-29,63,0
C00189,Regular,East,2022-12-30,46-60,2024-09-13,109,1
C00190,Regular,East,2022-07-23,36-45,2024-12-27,4,0
C00191,Premium,North,2022-07-31,36-45,2024-12-02,29,0
C00192,Budget,West,2022-10-03,46-60,2024-11-29,32,0
C00193,Budget,East,2022-03-14,26-35,2024-11-16,45,0
C00194,Regular,East,2022-08-31,26-35,2023-09-20,468,1
C00195,Regular,North,2022-04-12,18-25,2024-09-16,106,1
C00196,Regular,South,2022-06-20,60+,2024-11-24,37,0
C00197,Budget,South,2022-07-07,60+,2024-05-31,214,1
C00198,Budget,West,2023-03-17,46-60,2024-12-15,16,0
C00199,Budget,South,2022-03-27,18-25,2024-11-17,44,0
C00200,Budget,South,2023-04-21,26-35,2024-11-12,49,0
C00201,Regular,West,2022-02-21,18-25,2024-06-21,193,1
C00202,Premium,North,2022-04-21,18-25,2024-11-28,33,0
C00203,Premium,South,2022-02-12,36-45,2024-10-18,74,0
C00204,Budget,North,2022-07-30,60+,2024-12-26,5,0
C00205,Regular,East,2022-07-19,60+,2024-12-06,25,0
C00206,Premium,West,2022-01-26,36-45,2024-06-12,202,1
C00207,Premium,North,2022-10-26,18-25,2024-09-20,102,1
C00208,Regular,West,2022-03-18,26-35,2024-06-01,213,1
C00209,Premium,North,2022-05-17,26-35,2024-12-27,4,0
C00210,Premium,West,2022-01-20,46-60,2024-12-24,7,0
C00211,Regular,East,2023-03-16,46-60,2024-02-25,310,1
C00212,Regular,West,2022-07-30,26-35,2024-11-25,36,0
C00213,Regular,North,2023-03-11,26-35,2024-12-01,30,0
C00214,Regular,West,2022-07-26,18-25,2024-12-20,11,0
C00215,Budget,East,2023-03-15,26-35,2024-11-26,35,0
C00216,Regular,South,2022-02-11,26-35,2024-12-04,27,0
C00217,Regular,West,2023-02-15,18-25,2024-09-21,101,1
C00218,Budget,North,2023-06-07,26-35,2024-12-23,8,0
C00219,Regular,West,2023-03-03,46-60,2024-10-20,72,0
C00220,Budget,North,2022-10-02,36-45,2024-09-05,117,1
C00221,Regular,East,2023-03-24,18-25,2024-12-03,28,0
C00222,Regular,South,2023-01-04,26-35,2024-07-04,180,1
C00223,Premium,North,2022-08-08,26-35,2023-11-10,417,1
C00224,Regular,North,2022-08-20,26-35,2024-09-30,92,1
C00225,Regular,North,2022-11-24,26-35,2024-12-14,17,0
C00226,Regular,South,2023-03-19,36-45,2024-12-16,15,0
C00227,Budget,South,2022-02-21,36-45,2023-11-29,398,1
C00228,Regular,East,2023-01-11,46-60,2023-07-15,535,1
C00229,Budget,North,2022-09-20,26-35,2024-12-10,21,0
C00230,Regular,North,2022-09-24,46-60,2024-11-10,51,0
C00231,Budget,East,2022-12-25,26-35,2024-12-20,11,0
C00232,Regular,North,2022-11-13,18-25,2024-10-19,73,0
C00233,Regular,West,2022-11-20,36-45,2024-10-18,74,0
C00234,Regular,West,2023-02-25,36-45,2024-09-13,109,1
C00235,Premium,East,2022-02-15,60+,2024-12-25,6,0
C00236,Budget,East,2022-09-26,36-45,2024-11-26,35,0
C00237,Regular,West,2023-01-16,60+,2024-04-09,266,1
C00238,Premium,North,2022-04-28,60+,2024-11-18,43,0
C00239,Regular,North,2022-04-26,36-45,2024-07-13,171,1
C00240,Premium,North,2022-09-17,36-45,2024-10-27,65,0
C00241,Budget,East,2022-03-16,36-45,2024-07-26,158,1
C00242,Budget,North,2023-04-25,60+,2024-11-08,53,0
C00243,Budget,East,2022-11-01,46-60,2024-08-27,126,1
C00244,Regular,West,2022-01-07,18-25,2024-11-14,47,0
C00245,Premium,West,2023-01-01,46-60,2024-07-01,183,1
C00246,Budget,South,2023-06-07,26-35,2024-12-27,4,0
C00247,Regular,North,2022-12-14,26-35,2024-12-05,26,0
C00248,Budget,West,2023-03-14,26-35,2024-09-13,109,1
C00249,Budget,East,2022-08-03,36-45,2024-06-28,186,1
C00250,Budget,North,2023-03-05,46-60,2024-08-17,136,1
C00251,Regular,North,2023-05-13,26-35,2024-12-23,8,0
C00252,Regular,West,2023-06-24,18-25,2024-08-09,144,1
C00253,Budget,East,2023-01-02,26-35,2024-12-09,22,0
C00254,Regular,West,2022-11-09,36-45,2024-12-05,26,0
C00255,Premium,West,2023-06-22,26-35,2024-12-21,10,0
C00256,Regular,East,2022-02-23,26-35,2024-04-04,271,1
C00257,Budget,South,2023-06-25,26-35,2024-12-08,23,0
C00258,Regular,South,2023-04-12,26-35,2024-12-08,23,0
C00259,Regular,South,2022-06-13,26-35,2024-10-03,89,0
C00260,Premium,South,2022-11-30,36-45,2024-12-03,28,0
C00261,Regular,East,2022-12-14,18-25,2024-03-14,292,1
C00262,Budget,East,2022-09-30,36-45,2024-12-17,14,0
C00263,Premium,West,2023-02-18,26-35,2024-10-01,91,1
C00264,Regular,South,2023-05-15,26-35,2024-12-29,2,0
C00265,Budget,East,2022-04-03,26-35,2024-04-01,274,1
C00266,Budget,East,2022-03-20,36-45,2024-11-03,58,0
C00267,Regular,East,2022-08-05,60+,2024-09-29,93,1
C00268,Budget,East,2022-12-24,60+,2024-11-17,44,0
C00269,Regular,North,2023-05-22,36-45,2024-12-01,30,0
C00270,Regular,South,2022-06-30,26-35,2024-12-17,14,0
C00271,Budget,North,2022-09-03,46-60,2023-10-03,455,1
C00272,Budget,South,2022-09-01,36-45,2024-08-14,139,1
C00273,Budget,South,2023-05-21,26-35,2024-08-21,132,1
C00274,Budget,East,2023-02-26,46-60,2024-09-01,121,1
C00275,Regular,West,2022-11-16,26-35,2024-11-04,57,0
C00276,Regular,East,2022-03-28,26-35,2024-11-29,32,0
C00277,Budget,East,2022-08-05,26-35,2024-11-17,44,0
C00278,Regular,South,2023-05-05,26-35,2024-07-29,155,1
C00279,Budget,East,2023-06-03,36-45,2024-04-25,250,1
C00280,Budget,North,2022-10-05,26-35,2024-10-12,80,0
C00281,Budget,North,2022-06-18,18-25,2024-04-07,268,1
C00282,Regular,South,2022-11-26,18-25,2024-10-23,69,0
C00283,Regular,South,2023-03-17,36-45,2024-10-30,62,0
C00284,Premium,North,2023-01-26,36-45,2024-09-30,92,1
C00285,Regular,North,2023-05-11,26-35,2024-12-18,13,0
C00286,Premium,North,2023-01-16,18-25,2024-12-21,10,0
C00287,Regular,West,2022-11-02,18-25,2024-10-23,69,0
C00288,Regular,South,2023-05-28,60+,2024-12-06,25,0
C00289,Regular,South,2022-07-07,26-35,2024-08-14,139,1
C00290,Regular,North,2023-05-31,26-35,2024-08-25,128,1
C00291,Premium,East,2023-03-03,18-25,2024-09-07,115,1
C00292,Premium,North,2023-05-17,36-45,2024-12-12,19,0
C00293,Budget,North,2022-09-17,36-45,2024-04-28,247,1
C00294,Regular,South,2023-05-28,26-35,2024-09-21,101,1
C00295,Premium,North,2022-03-12,18-25,2024-08-20,133,1
C00296,Regular,North,2023-04-23,26-35,2024-11-04,57,0
C00297,Budget,North,2022-06-27,46-60,2024-09-05,117,1
C00298,Regular,North,2023-04-02,46-60,2024-07-15,169,1
C00299,Regular,North,2022-07-08,36-45,2024-12-12,19,0
C00300,Premium,South,2022-10-18,36-45,2024-06-30,184,1
C00301,Premium,West,2023-06-04,18-25,2024-10-08,84,0
C00302,Regular,East,2022-10-19,36-45,2024-05-25,220,1
C00303,Regular,South,2022-10-10,36-45,2024-10-04,88,0
C00304,Regular,North,2023-06-28,26-35,2024-08-11,142,1
C00305,Budget,West,2023-01-12,46-60,2024-12-18,13,0
C00306,Budget,South,2022-06-05,26-35,2024-02-16,319,1
C00307,Regular,North,2023-05-23,26-35,2024-07-05,179,1
C00308,Regular,East,2023-02-17,36-45,2024-10-30,62,0
C00309,Budget,North,2023-06-12,36-45,2024-11-15,46,0
C00310,Regular,South,2022-12-21,36-45,2024-08-24,129,1
C00311,Regular,South,2022-07-06,18-25,2024-03-13,293,1
C00312,Premium,West,2022-01-31,46-60,2024-12-03,28,0
C00313,Premium,South,2022-09-17,36-45,2024-11-21,40,0
C00314,Budget,East,2023-02-25,26-35,2024-12-13,18,0
C00315,Budget,West,2023-06-13,60+,2024-08-27,126,1
C00316,Regular,North,2022-10-31,36-45,2024-09-14,108,1
C00317,Regular,North,2022-02-08,18-25,2024-11-20,41,0
C00318,Premium,South,2023-05-04,46-60,2024-12-23,8,0
C00319,Premium,South,2023-06-26,18-25,2024-11-01,60,0
C00320,Regular,South,2022-10-05,18-25,2024-09-20,102,1
C00321,Regular,West,2022-07-22,26-35,2024-09-09,113,1
C00322,Budget,East,2022-03-07,60+,2024-11-23,38,0
C00323,Regular,East,2022-04-18,26-35,2024-04-16,259,1
C00324,Regular,South,2022-09-25,36-45,2024-05-28,217,1
C00325,Budget,West,2022-08-10,26-35,2024-11-15,46,0
C00326,Budget,West,2023-06-14,36-45,2024-06-07,207,1
C00327,Regular,West,2022-03-31,36-45,2024-12-26,5,0
C00328,Regular,North,2022-09-12,36-45,2024-11-22,39,0
C00329,Regular,East,2023-03-31,26-35,2024-10-04,88,0
C00330,Regular,North,2022-09-10,36-45,2024-07-07,177,1
C00331,Regular,North,2022-09-14,60+,2024-12-05,26,0
C00332,Budget,North,2023-01-18,36-45,2024-10-06,86,0
C00333,Premium,East,2023-03-18,26-35,2024-11-09,52,0
C00334,Premium,East,2022-03-31,60+,2024-11-13,48,0
C00335,Premium,North,2023-01-25,18-25,2024-05-07,238,1
C00336,Premium,South,2022-02-13,36-45,2024-04-22,253,1
C00337,Budget,South,2022-01-19,46-60,2024-11-08,53,0
C00338,Budget,South,2022-04-11,18-25,2024-10-13,79,0
C00339,Regular,North,2022-12-23,26-35,2024-12-28,3,0
C00340,Premium,South,2023-06-26,26-35,2024-09-23,99,1
C00341,Regular,East,2022-02-02,36-45,2023-08-27,492,1
C00342,Regular,North,2022-08-17,36-45,2024-11-23,38,0
C00343,Premium,North,2023-06-08,26-35,2024-12-17,14,0
C00344,Regular,South,2022-06-04,26-35,2024-12-25,6,0
C00345,Regular,West,2023-02-27,26-35,2024-12-24,7,0
C00346,Regular,East,2022-09-03,26-35,2024-10-23,69,0
C00347,Regular,East,2023-02-09,26-35,2024-12-12,19,0
C00348,Premium,South,2023-06-25,46-60,2024-12-20,11,0
C00349,Regular,East,2022-06-10,18-25,2023-06-24,556,1
C00350,Regular,North,2022-04-27,46-60,2024-10-05,87,0
C00351,Regular,East,2022-09-28,36-45,2024-06-29,185,1
C00352,Budget,West,2023-05-02,26-35,2024-09-08,114,1
C00353,Regular,East,2022-06-21,36-45,2024-09-19,103,1
C00354,Premium,West,2022-10-01,36-45,2024-12-12,19,0
C00355,Premium,East,2022-09-16,26-35,2024-10-12,80,0
C00356,Regular,North,2022-05-15,18-25,2024-10-03,89,0
C00357,Premium,West,2023-02-26,26-35,2024-11-13,48,0
C00358,Regular,North,2023-02-25,26-35,2024-12-26,5,0
C00359,Budget,South,2022-07-05,18-25,2024-11-16,45,0
C00360,Regular,North,2022-12-30,26-35,2024-11-07,54,0
C00361,Regular,North,2023-01-13,18-25,2024-10-02,90,0
C00362,Regular,South,2023-06-07,26-35,2024-10-21,71,0
C00363,Regular,North,2022-07-15,18-25,2024-09-26,96,1
C00364,Regular,South,2022-04-08,18-25,2024-06-09,205,1
C00365,Budget,East,2022-01-22,26-35,2024-07-02,182,1
C00366,Regular,North,2023-03-26,60+,2024-11-09,52,0
C00367,Budget,North,2022-06-21,18-25,2024-03-31,275,1
C00368,Budget,East,2023-01-18,36-45,2023-10-12,446,1
C00369,Premium,South,2022-05-14,18-25,2024-11-11,50,0
C00370,Premium,East,2023-03-02,60+,2024-08-16,137,1
C00371,Premium,East,2022-01-25,18-25,2024-11-22,39,0
C00372,Premium,West,2023-05-18,60+,2024-07-30,154,1
C00373,Premium,East,2022-07-04,36-45,2024-12-02,29,0
C00374,Regular,South,2022-03-26,18-25,2024-08-05,148,1
C00375,Premium,East,2022-05-24,46-60,2024-07-31,153,1
C00376,Regular,North,2023-02-16,36-45,2024-04-16,259,1
C00377,Budget,South,2022-08-12,26-35,2024-03-03,303,1
C00378,Premium,East,2022-08-08,46-60,2024-08-01,152,1
C00379,Budget,South,2022-06-28,60+,2024-11-21,40,0
C00380,Regular,East,2023-03-09,26-35,2024-11-22,39,0
C00381,Premium,West,2022-09-22,26-35,2024-12-18,13,0
C00382,Regular,West,2023-03-05,46-60,2024-12-19,12,0
C00383,Regular,West,2023-02-20,36-45,2024-09-30,92,1
C00384,Budget,South,2023-03-29,46-60,2024-10-30,62,0
C00385,Budget,South,2022-07-16,36-45,2024-09-04,118,1
C00386,Budget,East,2022-02-22,26-35,2024-05-07,238,1
C00387,Regular,South,2023-04-25,60+,2024-12-20,11,0
C00388,Premium,East,2023-03-19,18-25,2024-12-29,2,0
C00389,Budget,East,2022-11-26,26-35,2024-12-16,15,0
C00390,Budget,East,2022-09-08,36-45,2024-12-28,3,0
C00391,Budget,South,2022-05-03,36-45,2024-08-13,140,1
C00392,Regular,North,2023-01-22,18-25,2024-12-27,4,0
C00393,Regular,South,2022-12-05,46-60,2024-07-28,156,1
C00394,Budget,North,2022-12-14,26-35,2024-04-03,272,1
C00395,Regular,West,2022-01-29,26-35,2024-05-17,228,1
C00396,Budget,South,2022-02-04,46-60,2024-12-11,20,0
C00397,Budget,North,2023-06-02,26-35,2024-10-20,72,0
C00398,Regular,North,2023-01-31,18-25,2024-12-17,14,0
C00399,Budget,East,2022-10-21,26-35,2024-12-19,12,0
C00400,Budget,East,2022-12-15,60+,2024-12-27,4,0
C00401,Premium,South,2022-05-27,18-25,2024-11-27,34,0
C00402,Budget,North,2022-03-08,26-35,2024-09-14,108,1
C00403,Regular,South,2023-06-04,36-45,2024-12-13,18,0
C00404,Budget,South,2022-05-02,26-35,2024-11-25,36,0
C00405,Regular,East,2022-12-06,18-25,2024-11-26,35,0
C00406,Budget,East,2022-06-24,36-45,2024-06-09,205,1
C00407,Regular,South,2023-03-27,26-35,2024-11-23,38,0
C00408,Premium,North,2022-05-16,60+,2024-07-13,171,1
C00409,Budget,West,2022-01-16,26-35,2024-12-09,22,0
C00410,Premium,South,2022-11-29,26-35,2024-10-26,66,0
C00411,Regular,East,2022-07-14,26-35,2024-12-16,15,0
C00412,Budget,North,2023-05-11,26-35,2024-12-01,30,0
C00413,Budget,South,2022-01-09,36-45,2024-12-20,11,0
C00414,Regular,North,2022-11-30,26-35,2023-09-29,459,1
C00415,Regular,South,2022-11-29,26-35,2024-12-14,17,0
C00416,Regular,West,2022-11-23,36-45,2024-08-10,143,1
C00417,Regular,South,2022-01-15,36-45,2024-09-18,104,1
C00418,Regular,North,2022-08-14,26-35,2024-10-28,64,0
C00419,Regular,North,2023-03-01,26-35,2024-10-12,80,0
C00420,Budget,South,2023-02-12,26-35,2024-11-01,60,0
C00421,Budget,North,2022-04-23,18-25,2024-09-15,107,1
C00422,Budget,North,2023-03-04,18-25,2024-11-03,58,0
C00423,Premium,East,2022-01-01,36-45,2024-05-29,216,1
C00424,Regular,South,2022-09-23,46-60,2024-08-30,123,1
C00425,Premium,North,2023-05-06,26-35,2024-12-13,18,0
C00426,Regular,West,2022-07-27,26-35,2024-10-21,71,0
C00427,Regular,North,2023-01-04,18-25,2024-02-25,310,1
C00428,Budget,West,2022-11-02,26-35,2024-06-06,208,1
C00429,Regular,South,2022-01-12,18-25,2024-08-29,124,1
C00430,Premium,West,2022-12-11,60+,2024-06-20,194,1
C00431,Premium,East,2023-04-10,36-45,2024-11-25,36,0
C00432,Budget,West,2023-05-09,60+,2024-06-12,202,1
C00433,Regular,West,2023-01-03,46-60,2024-12-11,20,0
C00434,Premium,North,2023-02-24,26-35,2024-11-30,31,0
C00435,Premium,West,2022-06-20,36-45,2024-07-17,167,1
C00436,Budget,South,2022-05-14,26-35,2024-10-21,71,0
